year,city,region,city_tier,population_approx,median_salary_gross_gbp_monthly,median_salary_net_gbp_monthly,median_salary_gross_gbp_annual,national_median_gross_gbp_monthly,national_median_gross_gbp_annual,national_min_wage_gbp_monthly,national_nlw_hourly_gbp,salary_to_national_ratio,cpi_annual_pct,cost_of_living_index,rent_1br_city_center_gbp,rent_1br_outside_center_gbp,meal_cheap_restaurant_gbp,groceries_monthly_gbp,public_transport_monthly_gbp,est_monthly_cost_single_gbp,affordability_ratio,rent_to_income_pct,data_source
2014,Wakefield,Yorkshire and the Humber,city_large,326000,2189,1587,26268,2267,27200,1127,6.5,0.966,1.5,65.9,829,603,10,224,62,1164,1.36,27.5,ons_modeled
2015,Wakefield,Yorkshire and the Humber,city_large,326000,2204,1598,26448,2304,27645,1161,6.7,0.957,0.1,65.2,795,641,9,216,63,1175,1.36,29.1,ons_modeled
2016,Wakefield,Yorkshire and the Humber,city_large,326000,2386,1730,28632,2350,28195,1248,7.2,1.015,0.7,65.6,854,649,10,216,64,1204,1.44,27.2,ons_modeled
2017,Wakefield,Yorkshire and the Humber,city_large,326000,2421,1755,29052,2413,28954,1300,7.5,1.003,2.7,66.0,884,688,10,216,65,1246,1.41,28.4,ons_modeled
2018,Wakefield,Yorkshire and the Humber,city_large,326000,2527,1832,30324,2463,29559,1357,7.83,1.026,2.5,66.8,877,646,10,235,65,1225,1.5,25.6,ons_modeled
2019,Wakefield,Yorkshire and the Humber,city_large,326000,2598,1884,31176,2532,30378,1423,8.21,1.026,1.7,66.0,853,658,11,241,70,1270,1.48,25.3,ons_modeled
2020,Wakefield,Yorkshire and the Humber,city_large,326000,2659,1928,31908,2622,31461,1511,8.72,1.014,0.9,65.9,914,663,11,236,69,1269,1.52,24.9,ons_modeled
2021,Wakefield,Yorkshire and the Humber,city_large,326000,2598,1884,31176,2648,31772,1544,8.91,0.981,2.5,67.2,909,739,11,248,73,1363,1.38,28.4,ons_modeled
2022,Wakefield,Yorkshire and the Humber,city_large,326000,2769,2008,33228,2750,33000,1647,9.5,1.007,9.1,67.3,962,777,12,273,75,1456,1.38,28.1,ons_modeled
2023,Wakefield,Yorkshire and the Humber,city_large,326000,2924,2120,35088,2914,34963,1806,10.42,1.003,7.3,67.6,1088,861,13,274,85,1577,1.34,29.4,ons_modeled
2024,Wakefield,Yorkshire and the Humber,city_large,326000,3091,2241,37092,3119,37430,1983,11.44,0.991,2.6,67.3,1096,862,13,279,86,1587,1.41,27.9,ons_modeled
2010,York,Yorkshire and the Humber,city_medium,211000,2005,1454,24060,2157,25879,1028,5.93,0.93,3.3,56.5,559,438,8,183,47,895,1.62,21.8,ons_modeled
2011,York,Yorkshire and the Humber,city_medium,211000,2028,1470,24336,2183,26200,1054,6.08,0.929,4.5,56.4,566,480,8,190,51,951,1.55,23.7,ons_modeled
2012,York,Yorkshire and the Humber,city_medium,211000,2055,1490,24660,2208,26500,1073,6.19,0.931,2.8,56.9,592,481,9,190,53,976,1.53,23.4,ons_modeled
2013,York,Yorkshire and the Humber,city_medium,211000,2042,1480,24504,2250,27000,1094,6.31,0.908,2.6,56.2,654,507,9,196,55,1011,1.46,24.8,ons_modeled
2014,York,Yorkshire and the Humber,city_medium,211000,2104,1525,25248,2267,27200,1127,6.5,0.928,1.5,56.6,606,503,9,201,55,1014,1.5,23.9,ons_modeled
2015,York,Yorkshire and the Humber,city_medium,211000,2151,1559,25812,2304,27645,1161,6.7,0.934,0.1,57.5,649,502,9,199,54,1010,1.54,23.3,ons_modeled
2016,York,Yorkshire and the Humber,city_medium,211000,2161,1567,25932,2350,28195,1248,7.2,0.92,0.7,57.1,648,530,9,192,56,1033,1.52,24.5,ons_modeled
2017,York,Yorkshire and the Humber,city_medium,211000,2240,1624,26880,2413,28954,1300,7.5,0.928,2.7,57.0,687,523,9,203,55,1038,1.56,23.3,ons_modeled
2018,York,Yorkshire and the Humber,city_medium,211000,2193,1590,26316,2463,29559,1357,7.83,0.89,2.5,57.1,658,545,9,202,56,1062,1.5,24.9,ons_modeled
2019,York,Yorkshire and the Humber,city_medium,211000,2383,1728,28596,2532,30378,1423,8.21,0.941,1.7,58.1,687,541,10,218,57,1097,1.58,22.7,ons_modeled
2020,York,Yorkshire and the Humber,city_medium,211000,2479,1797,29748,2622,31461,1511,8.72,0.945,0.9,57.2,719,573,10,215,59,1128,1.59,23.1,ons_modeled
2021,York,Yorkshire and the Humber,city_medium,211000,2522,1828,30264,2648,31772,1544,8.91,0.952,2.5,58.0,680,558,10,228,60,1129,1.62,22.1,ons_modeled
2022,York,Yorkshire and the Humber,city_medium,211000,2573,1865,30876,2750,33000,1647,9.5,0.936,9.1,58.5,734,638,11,238,64,1251,1.49,24.8,ons_modeled
2023,York,Yorkshire and the Humber,city_medium,211000,2752,1995,33024,2914,34963,1806,10.42,0.944,7.3,59.1,851,685,12,269,69,1360,1.47,24.9,ons_modeled
2024,York,Yorkshire and the Humber,city_medium,211000,2866,2078,34392,3119,37430,1983,11.44,0.919,2.6,58.3,888,693,12,261,71,1365,1.52,24.2,ons_modeled
2010,Huddersfield,Yorkshire and the Humber,city_medium,162000,1920,1392,23040,2157,25879,1028,5.93,0.89,3.3,56.5,585,434,8,179,50,890,1.56,22.6,ons_modeled
2011,Huddersfield,Yorkshire and the Humber,city_medium,162000,1969,1428,23628,2183,26200,1054,6.08,0.902,4.5,56.3,577,468,8,179,50,927,1.54,23.8,ons_modeled
2012,Huddersfield,Yorkshire and the Humber,city_medium,162000,1955,1417,23460,2208,26500,1073,6.19,0.885,2.8,56.6,585,487,9,193,51,983,1.44,24.9,ons_modeled
2013,Huddersfield,Yorkshire and the Humber,city_medium,162000,2120,1537,25440,2250,27000,1094,6.31,0.942,2.6,56.8,640,491,9,191,52,987,1.56,23.2,ons_modeled
2014,Huddersfield,Yorkshire and the Humber,city_medium,162000,2007,1455,24084,2267,27200,1127,6.5,0.885,1.5,56.8,621,529,9,205,54,1043,1.4,26.4,ons_modeled
2015,Huddersfield,Yorkshire and the Humber,city_medium,162000,2119,1536,25428,2304,27645,1161,6.7,0.92,0.1,57.2,621,495,9,204,53,1007,1.53,23.4,ons_modeled
2016,Huddersfield,Yorkshire and the Humber,city_medium,162000,2229,1616,26748,2350,28195,1248,7.2,0.949,0.7,57.0,659,509,9,201,53,1018,1.59,22.8,ons_modeled
2017,Huddersfield,Yorkshire and the Humber,city_medium,162000,2234,1620,26808,2413,28954,1300,7.5,0.926,2.7,57.7,642,514,9,205,57,1033,1.57,23.0,ons_modeled
2018,Huddersfield,Yorkshire and the Humber,city_medium,162000,2242,1625,26904,2463,29559,1357,7.83,0.91,2.5,57.7,686,511,9,204,58,1032,1.57,22.8,ons_modeled
2019,Huddersfield,Yorkshire and the Humber,city_medium,162000,2378,1724,28536,2532,30378,1423,8.21,0.939,1.7,57.0,698,548,9,215,58,1082,1.59,23.0,ons_modeled
2020,Huddersfield,Yorkshire and the Humber,city_medium,162000,2442,1770,29304,2622,31461,1511,8.72,0.931,0.9,57.9,723,576,10,220,58,1135,1.56,23.6,ons_modeled
2021,Huddersfield,Yorkshire and the Humber,city_medium,162000,2460,1784,29520,2648,31772,1544,8.91,0.929,2.5,58.1,730,564,10,225,58,1130,1.58,22.9,ons_modeled
2022,Huddersfield,Yorkshire and the Humber,city_medium,162000,2501,1813,30012,2750,33000,1647,9.5,0.909,9.1,58.0,810,621,11,232,63,1227,1.48,24.8,ons_modeled
2023,Huddersfield,Yorkshire and the Humber,city_medium,162000,2781,2016,33372,2914,34963,1806,10.42,0.954,7.3,58.3,818,680,11,265,72,1334,1.51,24.5,ons_modeled
2024,Huddersfield,Yorkshire and the Humber,city_medium,162000,2958,2145,35496,3119,37430,1983,11.44,0.948,2.6,58.9,880,682,12,269,74,1365,1.57,23.1,ons_modeled
2010,Doncaster,Yorkshire and the Humber,city_large,303000,2153,1561,25836,2157,25879,1028,5.93,0.998,3.3,64.3,735,561,9,201,56,1065,1.47,26.1,ons_modeled
2011,Doncaster,Yorkshire and the Humber,city_large,303000,2090,1515,25080,2183,26200,1054,6.08,0.957,4.5,65.2,756,618,9,209,61,1138,1.33,29.6,ons_modeled
2012,Doncaster,Yorkshire and the Humber,city_large,303000,2131,1545,25572,2208,26500,1073,6.19,0.965,2.8,64.3,761,579,9,215,61,1107,1.4,27.2,ons_modeled
2013,Doncaster,Yorkshire and the Humber,city_large,303000,2279,1652,27348,2250,27000,1094,6.31,1.013,2.6,65.6,847,643,10,207,61,1184,1.4,28.2,ons_modeled
2014,Doncaster,Yorkshire and the Humber,city_large,303000,2252,1633,27024,2267,27200,1127,6.5,0.993,1.5,64.9,797,610,9,218,64,1147,1.42,27.1,ons_modeled
2015,Doncaster,Yorkshire and the Humber,city_large,303000,2287,1658,27444,2304,27645,1161,6.7,0.993,0.1,64.8,813,617,10,216,65,1173,1.41,27.0,ons_modeled
2016,Doncaster,Yorkshire and the Humber,city_large,303000,2351,1704,28212,2350,28195,1248,7.2,1.0,0.7,66.1,820,610,9,218,64,1147,1.49,25.9,ons_modeled
2017,Doncaster,Yorkshire and the Humber,city_large,303000,2421,1755,29052,2413,28954,1300,7.5,1.003,2.7,66.4,824,640,10,229,68,1214,1.45,26.4,ons_modeled
2018,Doncaster,Yorkshire and the Humber,city_large,303000,2450,1776,29400,2463,29559,1357,7.83,0.995,2.5,66.0,827,691,11,228,67,1285,1.38,28.2,ons_modeled
2019,Doncaster,Yorkshire and the Humber,city_large,303000,2578,1869,30936,2532,30378,1423,8.21,1.018,1.7,66.8,867,673,11,240,70,1284,1.46,26.1,ons_modeled
2020,Doncaster,Yorkshire and the Humber,city_large,303000,2604,1888,31248,2622,31461,1511,8.72,0.993,0.9,66.4,851,714,11,237,70,1322,1.43,27.4,ons_modeled
2021,Doncaster,Yorkshire and the Humber,city_large,303000,2647,1919,31764,2648,31772,1544,8.91,1.0,2.5,66.5,890,729,11,248,70,1350,1.42,27.5,ons_modeled
2022,Doncaster,Yorkshire and the Humber,city_large,303000,2798,2029,33576,2750,33000,1647,9.5,1.017,9.1,67.5,984,784,12,260,76,1451,1.4,28.0,ons_modeled
2023,Doncaster,Yorkshire and the Humber,city_large,303000,2905,2106,34860,2914,34963,1806,10.42,0.997,7.3,67.8,1046,827,12,280,82,1526,1.38,28.5,ons_modeled
2024,Doncaster,Yorkshire and the Humber,city_large,303000,3100,2248,37200,3119,37430,1983,11.44,0.994,2.6,67.6,1085,824,13,291,83,1558,1.44,26.6,ons_modeled
2010,Rotherham,Yorkshire and the Humber,city_medium,261000,2027,1470,24324,2157,25879,1028,5.93,0.94,3.3,56.5,549,431,8,172,48,878,1.67,21.3,ons_modeled
2011,Rotherham,Yorkshire and the Humber,city_medium,261000,1971,1429,23652,2183,26200,1054,6.08,0.903,4.5,55.9,618,480,9,187,49,966,1.48,24.4,ons_modeled
2012,Rotherham,Yorkshire and the Humber,city_medium,261000,2000,1450,24000,2208,26500,1073,6.19,0.906,2.8,56.6,595,488,8,192,51,963,1.51,24.4,ons_modeled
2013,Rotherham,Yorkshire and the Humber,city_medium,261000,2086,1512,25032,2250,27000,1094,6.31,0.927,2.6,57.1,637,525,9,196,53,1027,1.47,25.2,ons_modeled
2014,Rotherham,Yorkshire and the Humber,city_medium,261000,2016,1462,24192,2267,27200,1127,6.5,0.889,1.5,57.0,654,518,9,200,52,1025,1.43,25.7,ons_modeled
2015,Rotherham,Yorkshire and the Humber,city_medium,261000,2095,1519,25140,2304,27645,1161,6.7,0.909,0.1,56.3,644,501,9,206,52,1014,1.5,23.9,ons_modeled
2016,Rotherham,Yorkshire and the Humber,city_medium,261000,2204,1598,26448,2350,28195,1248,7.2,0.938,0.7,56.9,636,528,9,196,55,1034,1.55,24.0,ons_modeled
2017,Rotherham,Yorkshire and the Humber,city_medium,261000,2156,1563,25872,2413,28954,1300,7.5,0.893,2.7,56.8,637,537,9,197,55,1046,1.49,24.9,ons_modeled
2018,Rotherham,Yorkshire and the Humber,city_medium,261000,2241,1625,26892,2463,29559,1357,7.83,0.91,2.5,57.2,706,540,9,204,58,1061,1.53,24.1,ons_modeled
2019,Rotherham,Yorkshire and the Humber,city_medium,261000,2299,1667,27588,2532,30378,1423,8.21,0.908,1.7,57.5,656,539,9,213,58,1071,1.56,23.4,ons_modeled
2020,Rotherham,Yorkshire and the Humber,city_medium,261000,2367,1716,28404,2622,31461,1511,8.72,0.903,0.9,57.5,715,575,10,215,58,1129,1.52,24.3,ons_modeled
2021,Rotherham,Yorkshire and the Humber,city_medium,261000,2531,1835,30372,2648,31772,1544,8.91,0.956,2.5,58.1,702,544,10,223,59,1109,1.65,21.5,ons_modeled
2022,Rotherham,Yorkshire and the Humber,city_medium,261000,2631,1907,31572,2750,33000,1647,9.5,0.957,9.1,57.6,781,626,11,232,66,1235,1.54,23.8,ons_modeled
2023,Rotherham,Yorkshire and the Humber,city_medium,261000,2637,1912,31644,2914,34963,1806,10.42,0.905,7.3,58.3,842,651,12,267,72,1327,1.44,24.7,ons_modeled
2024,Rotherham,Yorkshire and the Humber,city_medium,261000,2941,2132,35292,3119,37430,1983,11.44,0.943,2.6,58.7,878,683,12,262,71,1356,1.57,23.2,ons_modeled
2010,Harrogate,Yorkshire and the Humber,city_small,75000,1842,1335,22104,2157,25879,1028,5.93,0.854,3.3,48.8,499,386,8,158,40,811,1.65,21.0,ons_modeled
2011,Harrogate,Yorkshire and the Humber,city_small,75000,1876,1360,22512,2183,26200,1054,6.08,0.859,4.5,49.8,523,410,8,169,41,850,1.6,21.9,ons_modeled
2012,Harrogate,Yorkshire and the Humber,city_small,75000,1839,1333,22068,2208,26500,1073,6.19,0.833,2.8,49.4,547,411,8,180,41,864,1.54,22.3,ons_modeled
2013,Harrogate,Yorkshire and the Humber,city_small,75000,1949,1413,23388,2250,27000,1094,6.31,0.866,2.6,50.1,527,443,8,181,42,899,1.57,22.7,ons_modeled
2014,Harrogate,Yorkshire and the Humber,city_small,75000,1977,1433,23724,2267,27200,1127,6.5,0.872,1.5,50.2,549,456,8,179,45,915,1.57,23.1,ons_modeled
2015,Harrogate,Yorkshire and the Humber,city_small,75000,1999,1449,23988,2304,27645,1161,6.7,0.868,0.1,49.5,561,460,9,185,45,945,1.53,23.0,ons_modeled
2016,Harrogate,Yorkshire and the Humber,city_small,75000,1995,1446,23940,2350,28195,1248,7.2,0.849,0.7,50.2,556,429,8,189,44,897,1.61,21.5,ons_modeled
2017,Harrogate,Yorkshire and the Humber,city_small,75000,2097,1520,25164,2413,28954,1300,7.5,0.869,2.7,50.9,551,471,9,193,46,967,1.57,22.5,ons_modeled
2018,Harrogate,Yorkshire and the Humber,city_small,75000,2179,1580,26148,2463,29559,1357,7.83,0.885,2.5,51.2,605,491,8,191,48,969,1.63,22.5,ons_modeled
2019,Harrogate,Yorkshire and the Humber,city_small,75000,2220,1610,26640,2532,30378,1423,8.21,0.877,1.7,51.3,590,474,9,190,48,973,1.65,21.4,ons_modeled
2020,Harrogate,Yorkshire and the Humber,city_small,75000,2296,1665,27552,2622,31461,1511,8.72,0.876,0.9,51.5,619,470,9,201,50,982,1.7,20.5,ons_modeled
2021,Harrogate,Yorkshire and the Humber,city_small,75000,2246,1628,26952,2648,31772,1544,8.91,0.848,2.5,51.5,652,512,9,199,50,1024,1.59,22.8,ons_modeled
2022,Harrogate,Yorkshire and the Humber,city_small,75000,2315,1678,27780,2750,33000,1647,9.5,0.842,9.1,51.8,681,542,10,214,54,1101,1.52,23.4,ons_modeled
2023,Harrogate,Yorkshire and the Humber,city_small,75000,2617,1897,31404,2914,34963,1806,10.42,0.898,7.3,51.9,706,600,10,240,57,1194,1.59,22.9,ons_modeled
2024,Harrogate,Yorkshire and the Humber,city_small,75000,2664,1931,31968,3119,37430,1983,11.44,0.854,2.6,50.9,764,579,11,248,58,1205,1.6,21.7,ons_modeled
2010,Scarborough,Yorkshire and the Humber,town,61000,1744,1264,20928,2157,25879,1028,5.93,0.809,3.3,43.3,418,343,7,157,33,740,1.71,19.7,ons_modeled
2011,Scarborough,Yorkshire and the Humber,town,61000,1745,1265,20940,2183,26200,1054,6.08,0.799,4.5,43.0,447,345,7,162,34,751,1.68,19.8,ons_modeled
2012,Scarborough,Yorkshire and the Humber,town,61000,1724,1250,20688,2208,26500,1073,6.19,0.781,2.8,43.4,466,357,7,161,34,764,1.64,20.7,ons_modeled
2013,Scarborough,Yorkshire and the Humber,town,61000,1813,1314,21756,2250,27000,1094,6.31,0.806,2.6,43.0,476,377,7,164,36,790,1.66,20.8,ons_modeled
2014,Scarborough,Yorkshire and the Humber,town,61000,1888,1369,22656,2267,27200,1127,6.5,0.833,1.5,44.2,503,398,7,169,35,817,1.68,21.1,ons_modeled
2015,Scarborough,Yorkshire and the Humber,town,61000,1839,1333,22068,2304,27645,1161,6.7,0.798,0.1,44.4,481,381,8,168,36,820,1.63,20.7,ons_modeled
2016,Scarborough,Yorkshire and the Humber,town,61000,1943,1409,23316,2350,28195,1248,7.2,0.827,0.7,43.4,485,381,7,167,35,798,1.77,19.6,ons_modeled
2017,Scarborough,Yorkshire and the Humber,town,61000,1909,1384,22908,2413,28954,1300,7.5,0.791,2.7,44.3,512,394,8,176,37,844,1.64,20.6,ons_modeled
2018,Scarborough,Yorkshire and the Humber,town,61000,1951,1414,23412,2463,29559,1357,7.83,0.792,2.5,45.0,535,394,8,182,37,852,1.66,20.2,ons_modeled
2019,Scarborough,Yorkshire and the Humber,town,61000,2060,1494,24720,2532,30378,1423,8.21,0.814,1.7,44.6,505,438,8,192,39,910,1.64,21.3,ons_modeled
2020,Scarborough,Yorkshire and the Humber,town,61000,2088,1514,25056,2622,31461,1511,8.72,0.796,0.9,45.1,520,441,8,187,40,909,1.67,21.1,ons_modeled
2021,Scarborough,Yorkshire and the Humber,town,61000,2228,1615,26736,2648,31772,1544,8.91,0.841,2.5,44.5,520,418,8,187,39,887,1.82,18.8,ons_modeled
2022,Scarborough,Yorkshire and the Humber,town,61000,2285,1657,27420,2750,33000,1647,9.5,0.831,9.1,44.3,619,492,9,205,43,1011,1.64,21.5,ons_modeled
2023,Scarborough,Yorkshire and the Humber,town,61000,2330,1689,27960,2914,34963,1806,10.42,0.8,7.3,44.5,627,494,9,230,46,1047,1.61,21.2,ons_modeled
2024,Scarborough,Yorkshire and the Humber,town,61000,2620,1900,31440,3119,37430,1983,11.44,0.84,2.6,45.8,676,516,10,223,48,1087,1.75,19.7,ons_modeled
2010,Manchester,North West,city_large,553000,2034,1475,24408,2157,25879,1028,5.93,0.943,3.3,70.3,703,579,8,199,55,1060,1.39,28.5,numbeo
2011,Manchester,North West,city_large,553000,1978,1434,23736,2183,26200,1054,6.08,0.906,4.5,70.1,771,563,9,204,60,1077,1.33,28.5,numbeo
2012,Manchester,North West,city_large,553000,2097,1520,25164,2208,26500,1073,6.19,0.95,2.8,70.2,823,580,10,216,59,1127,1.35,27.7,numbeo
2013,Manchester,North West,city_large,553000,2042,1480,24504,2250,27000,1094,6.31,0.908,2.6,70.1,792,599,10,210,65,1147,1.29,29.3,numbeo
2014,Manchester,North West,city_large,553000,2077,1506,24924,2267,27200,1127,6.5,0.916,1.5,71.0,786,655,10,210,61,1201,1.25,31.5,numbeo
2015,Manchester,North West,city_large,553000,2171,1574,26052,2304,27645,1161,6.7,0.942,0.1,70.6,791,607,9,221,64,1147,1.37,28.0,numbeo
2016,Manchester,North West,city_large,553000,2275,1649,27300,2350,28195,1248,7.2,0.968,0.7,72.0,861,621,9,227,62,1165,1.42,27.3,numbeo
2017,Manchester,North West,city_large,553000,2323,1684,27876,2413,28954,1300,7.5,0.963,2.7,71.0,848,657,11,231,65,1250,1.35,28.3,numbeo
2018,Manchester,North West,city_large,553000,2250,1631,27000,2463,29559,1357,7.83,0.914,2.5,71.7,885,701,10,224,67,1271,1.28,31.2,numbeo
2019,Manchester,North West,city_large,553000,2449,1776,29388,2532,30378,1423,8.21,0.967,1.7,71.5,883,653,11,235,68,1257,1.41,26.7,numbeo
2020,Manchester,North West,city_large,553000,2443,1771,29316,2622,31461,1511,8.72,0.932,0.9,71.9,904,718,10,234,69,1302,1.36,29.4,numbeo
2021,Manchester,North West,city_large,553000,2579,1870,30948,2648,31772,1544,8.91,0.974,2.5,73.1,933,699,11,247,68,1317,1.42,27.1,numbeo
2022,Manchester,North West,city_large,553000,2579,1870,30948,2750,33000,1647,9.5,0.938,9.1,73.2,967,780,12,274,76,1461,1.28,30.2,numbeo
2023,Manchester,North West,city_large,553000,2706,1962,32472,2914,34963,1806,10.42,0.929,7.3,73.5,1055,852,13,282,84,1575,1.25,31.5,numbeo
2024,Manchester,North West,city_large,553000,2962,2147,35544,3119,37430,1983,11.44,0.95,2.6,72.4,1080,848,13,300,86,1594,1.35,28.6,numbeo
2010,Liverpool,North West,city_large,498000,1907,1383,22884,2157,25879,1028,5.93,0.884,3.3,62.9,766,555,8,199,56,1037,1.33,29.1,numbeo
2011,Liverpool,North West,city_large,498000,1956,1418,23472,2183,26200,1054,6.08,0.896,4.5,62.6,798,589,9,204,60,1103,1.29,30.1,numbeo
2012,Liverpool,North West,city_large,498000,1984,1438,23808,2208,26500,1073,6.19,0.899,2.8,62.3,818,596,9,204,60,1112,1.29,30.0,numbeo
2013,Liverpool,North West,city_large,498000,2069,1500,24828,2250,27000,1094,6.31,0.92,2.6,63.2,806,636,10,205,64,1178,1.27,30.7,numbeo
2014,Liverpool,North West,city_large,498000,2003,1452,24036,2267,27200,1127,6.5,0.884,1.5,62.8,805,646,10,218,61,1200,1.21,32.3,numbeo
2015,Liverpool,North West,city_large,498000,2003,1452,24036,2304,27645,1161,6.7,0.869,0.1,63.0,829,628,10,210,65,1178,1.23,31.4,numbeo
2016,Liverpool,North West,city_large,498000,2122,1538,25464,2350,28195,1248,7.2,0.903,0.7,62.9,841,612,10,212,66,1165,1.32,28.8,numbeo
2017,Liverpool,North West,city_large,498000,2172,1575,26064,2413,28954,1300,7.5,0.9,2.7,63.2,847,656,10,221,65,1219,1.29,30.2,numbeo
2018,Liverpool,North West,city_large,498000,2237,1622,26844,2463,29559,1357,7.83,0.908,2.5,64.4,833,691,10,235,69,1274,1.27,30.9,numbeo
2019,Liverpool,North West,city_large,498000,2323,1684,27876,2532,30378,1423,8.21,0.917,1.7,63.6,844,715,11,230,69,1315,1.28,30.8,numbeo
2020,Liverpool,North West,city_large,498000,2420,1754,29040,2622,31461,1511,8.72,0.923,0.9,63.9,912,698,10,245,69,1293,1.36,28.8,numbeo
2021,Liverpool,North West,city_large,498000,2442,1770,29304,2648,31772,1544,8.91,0.922,2.5,64.8,960,692,11,234,70,1299,1.36,28.3,numbeo
2022,Liverpool,North West,city_large,498000,2460,1784,29520,2750,33000,1647,9.5,0.895,9.1,64.5,970,796,11,262,75,1444,1.24,32.4,numbeo
2023,Liverpool,North West,city_large,498000,2619,1899,31428,2914,34963,1806,10.42,0.899,7.3,64.8,1061,812,13,280,84,1533,1.24,31.0,numbeo
2024,Liverpool,North West,city_large,498000,2810,2037,33720,3119,37430,1983,11.44,0.901,2.6,65.6,1062,838,14,300,82,1600,1.27,29.8,numbeo
2010,Salford,North West,city_medium,254000,1982,1437,23784,2157,25879,1028,5.93,0.919,3.3,56.0,582,468,8,178,48,921,1.56,23.6,ons_modeled
2011,Salford,North West,city_medium,254000,2103,1525,25236,2183,26200,1054,6.08,0.963,4.5,56.0,573,471,8,187,52,940,1.62,22.4,ons_modeled
2012,Salford,North West,city_medium,254000,2042,1480,24504,2208,26500,1073,6.19,0.925,2.8,57.4,589,477,8,189,52,950,1.56,23.4,ons_modeled
2013,Salford,North West,city_medium,254000,2101,1523,25212,2250,27000,1094,6.31,0.934,2.6,56.5,654,506,8,194,53,986,1.54,24.1,ons_modeled
2014,Salford,North West,city_medium,254000,2200,1595,26400,2267,27200,1127,6.5,0.97,1.5,57.1,616,502,9,194,55,1006,1.59,22.8,ons_modeled
2015,Salford,North West,city_medium,254000,2207,1600,26484,2304,27645,1161,6.7,0.958,0.1,57.0,623,527,9,194,52,1028,1.56,23.9,ons_modeled
2016,Salford,North West,city_medium,254000,2158,1565,25896,2350,28195,1248,7.2,0.918,0.7,57.7,622,497,9,193,55,1000,1.56,23.0,ons_modeled
2017,Salford,North West,city_medium,254000,2338,1695,28056,2413,28954,1300,7.5,0.969,2.7,57.2,627,534,9,203,55,1049,1.62,22.8,ons_modeled
2018,Salford,North West,city_medium,254000,2308,1673,27696,2463,29559,1357,7.83,0.937,2.5,58.2,703,549,9,206,59,1073,1.56,23.8,ons_modeled
2019,Salford,North West,city_medium,254000,2354,1707,28248,2532,30378,1423,8.21,0.93,1.7,58.7,714,563,9,214,60,1098,1.55,23.9,ons_modeled
2020,Salford,North West,city_medium,254000,2511,1820,30132,2622,31461,1511,8.72,0.958,0.9,57.8,695,537,10,217,60,1095,1.66,21.4,ons_modeled
2021,Salford,North West,city_medium,254000,2439,1768,29268,2648,31772,1544,8.91,0.921,2.5,58.8,703,593,10,224,61,1161,1.52,24.3,ons_modeled
2022,Salford,North West,city_medium,254000,2635,1910,31620,2750,33000,1647,9.5,0.958,9.1,58.6,736,626,10,238,64,1219,1.57,23.8,ons_modeled
2023,Salford,North West,city_medium,254000,2804,2033,33648,2914,34963,1806,10.42,0.962,7.3,59.3,816,683,12,264,71,1355,1.5,24.4,ons_modeled
2024,Salford,North West,city_medium,254000,2903,2105,34836,3119,37430,1983,11.44,0.931,2.6,58.9,860,656,11,262,73,1311,1.61,22.6,ons_modeled
2010,Bolton,North West,city_medium,194000,2002,1451,24024,2157,25879,1028,5.93,0.928,3.3,56.0,575,440,8,172,47,886,1.64,22.0,ons_modeled
2011,Bolton,North West,city_medium,194000,1998,1449,23976,2183,26200,1054,6.08,0.915,4.5,56.3,620,489,8,183,49,951,1.52,24.5,ons_modeled
2012,Bolton,North West,city_medium,194000,2097,1520,25164,2208,26500,1073,6.19,0.95,2.8,57.5,602,468,9,193,53,966,1.57,22.3,ons_modeled
2013,Bolton,North West,city_medium,194000,2108,1528,25296,2250,27000,1094,6.31,0.937,2.6,57.3,652,524,9,196,53,1026,1.49,24.9,ons_modeled
2014,Bolton,North West,city_medium,194000,2200,1595,26400,2267,27200,1127,6.5,0.97,1.5,57.2,638,498,9,199,53,1005,1.59,22.6,ons_modeled
2015,Bolton,North West,city_medium,194000,2126,1541,25512,2304,27645,1161,6.7,0.923,0.1,57.3,654,507,9,203,54,1019,1.51,23.8,ons_modeled
2016,Bolton,North West,city_medium,194000,2247,1629,26964,2350,28195,1248,7.2,0.956,0.7,57.3,668,502,9,201,53,1011,1.61,22.3,ons_modeled
2017,Bolton,North West,city_medium,194000,2321,1683,27852,2413,28954,1300,7.5,0.962,2.7,57.6,653,506,9,209,53,1025,1.64,21.8,ons_modeled
2018,Bolton,North West,city_medium,194000,2269,1645,27228,2463,29559,1357,7.83,0.921,2.5,57.4,646,534,9,209,58,1060,1.55,23.5,ons_modeled
2019,Bolton,North West,city_medium,194000,2427,1760,29124,2532,30378,1423,8.21,0.959,1.7,58.3,688,533,10,218,58,1090,1.61,22.0,ons_modeled
2020,Bolton,North West,city_medium,194000,2465,1787,29580,2622,31461,1511,8.72,0.94,0.9,58.7,718,577,10,211,57,1126,1.59,23.4,ons_modeled
2021,Bolton,North West,city_medium,194000,2578,1869,30936,2648,31772,1544,8.91,0.974,2.5,59.0,683,587,10,213,61,1144,1.63,22.8,ons_modeled
2022,Bolton,North West,city_medium,194000,2673,1938,32076,2750,33000,1647,9.5,0.972,9.1,58.9,796,636,11,250,67,1264,1.53,23.8,ons_modeled
2023,Bolton,North West,city_medium,194000,2817,2042,33804,2914,34963,1806,10.42,0.967,7.3,58.6,849,682,11,252,68,1319,1.55,24.2,ons_modeled
